code_name,dpid,sbmxn_pt,ctgry,typ,day_first,id
ngbo,2ABL100540,001,mf,"",false,366
ours,2ABL100651,001,mf,"",false,367
sincere,2ABL100300,001,mf,NULL,false,368
yes,2ABL100393,001,mf,"",false,369
welfare,2ABL100729,001,mf,"",false,370
carbon,2ABL100037,001,mf,,false,912
ucb,2ABL100385,001,mf,"",false,372
aiyepe,2ABL100387,001,mf,NULL,false,374
chanelle,2ABL100301,001,mf,"",false,375
uromi,2ABL100374,001,mf,"",false,377
prudentialcoop,2ABL100444,001,mf,"",false,378
isaleoyo,2ABL100485,001,mf,"",false,379
borgu,2ABL100558,001,mf,"",false,380
unn,2ABL100645,001,mf,"",false,381
mapoly,2ABL100731,001,mf,"",false,382
bundi,2ABL100671,001,mf,"",false,383
balogungambari,2ABL100754,001,mf,"",false,384
futuregrowth,2ABL100075,001,mf,"",false,385
alvana,2ABL100855,001,mf,"",false,386
creditdirect,2ABL100033,001,mf,"",false,387
kankara,2ABL100763,001,mf,"",false,388
infinitysavings,2A4L290002,001,mg,"",false,389
cherish,2ABL100810,001,mf,"",false,390
haggai,2A4L290065,001,mg,"",false,391
brent,2A4L290070,001,mg,"",false,392
abmfb,2ABL100013,001,mf,"",false,393
monarch,2ABL100779,001,mf,"",false,394
ihiala,2ABL100600,001,mf,"",false,395
bancorp,2A2L100081,001,cb,"",false,396
fundquest,2A2L100159,001,cb,"",false,397
deltatrust,2A4L100153,001,mg,"",false,398
abigi,2ABL100348,001,mf,"",false,400
ace,2ABL100258,001,mf,"",false,401
ajikobi,2ABL100726,001,mf,"",false,402
amegy,2ABL100575,001,mf,"",false,403
bayero,2ABL100637,001,mf,"",false,404
avuenegbe,2ABL100358,001,mf,"",false,405
zion,2ABL100679,001,mf,"",false,407
xslnce,2ABL100379,001,mf,"",false,408
boromu,2ABL100333,001,mf,"",false,409
bluewhales,2ABL100448,001,mf,"",false,410
beststar,2ABL100695,001,mf,"",false,411
adazienu,2ABL100384,001,mf,"",false,412
solidrock,2ABL100719,001,mf,"",false,413
npf,2ABL100133,001,mf,"",false,414
omoluabi,2A4L290088,001,mg,"",false,417
creekline,2ABL100226,001,mf,,false,816
covenant,2ABL100142,001,mf,,false,817
confluence,2ABL100746,001,mf,,false,818
cemcs,2ABL100882,001,mf,,false,819
bunkasa,2ABL100225,001,mf,,false,820
bauchiinvest,2ABL100653,001,mf,,false,821
bowen,2ABL100097,001,mf,,false,822
infra,2A1L100122,001,cb,,false,823
ndiolu,2ABL100703,001,mf,,false,843
nkpologwu,2ABL100388,001,mf,,false,844
umuchukwu,2ABL100552,001,mf,,false,861
yankari,2ABL100610,001,mf,,false,862
lavender,2ABL100248,001,mf,,false,863
hallowed,2ABL100392,001,mf,,false,865
oche,2ABL100190,001,mf,,false,866
ijare,2ABL100306,001,mf,,false,867
nwannegadi,2ABL100710,001,mf,,false,869
nkpolu,2ABL100588,001,mf,,false,871
okengwe,2ABL100186,001,mf,,false,872
uzondu,2ABL100705,001,mf,,false,873
oluchukwu,2ABL100403,001,mf,,false,874
ebsu,2ABL100887,001,mf,,false,875
enede,2ABL100544,001,mf,,false,876
ichi,2ABL100416,001,mf,,false,877
prospects,2ABL100866,001,mf,,false,878
uandc,2ABL100150,001,mf,,false,879
akalabo,2ABL100467,001,mf,,false,880
anya,2ABL100885,001,mf,,false,881
csd,2ABL100240,001,mf,,false,882
bauchicfa,2ABL100592,001,mf,,false,884
chukwunenye,2ABL100466,001,mf,,false,885
chrisore,2ABL100417,001,mf,,false,886
model,2ABL100414,001,mf,,false,887
visa,2ABL100089,001,mf,,false,889
igboukwu,2ABL100602,001,mf,,false,890
blueprint,2ABL100440,001,mf,,false,891
ospoly,2ABL100608,001,mf,,false,892
motionyield,2ABL100244,001,mf,,false,893
sagamu,2ABL100549,001,mf,,false,894
rehoboth,2ABL100189,001,mf,,false,895
fadama,2ABL100616,001,mf,,false,896
citygate,2A2L100276,001,cb,,false,897
easyaccess,2ABL100649,001,mf,,false,898
egwafin,2ABL100550,001,mf,,false,899
kwasu,2ABL100736,001,mf,,false,901
leadcity,2ABL100439,001,mf,,false,902
maritime,2ABL100272,001,mf,,false,903
moyofade,2ABL100424,001,mf,,false,904
otukpo,2ABL100564,001,mf,,false,905
pillar,2ABL100412,001,mf,,false,906
verdant,2ABL100110,001,mf,,false,907
sunbeam,2ABL100428,001,mf,,false,908
trident,2ABL100790,001,mf,,false,909
bokkos,2ABL100714,001,mf,,false,910
abokie,2ABL100781,001,mf,,false,911
fidelity,2A0L200070,016,cb,,false,320
moneytrust,2ABL100829,001,mf,,false,913
jubilee,2A4L290045,001,mg,,false,415
awkamfb,2ABL100658,001,mf,,false,406
refuge,2A4L290067,001,mg,,false,888
imodi,2ABL100242,001,mf,,false,900
tarabamfb,2ABL100594,001,mf,,false,416
annointed,2ABL100213,001,mf,,false,371
rimagrowthmfb,2ABL100402,001,mf,,false,358
firstmortgage,2A4L290042,001,mg,,false,399
benuemfb,2ABL100623,001,mf,,false,376
,,,,,false,864
confidence,2ABL100565,001,mf,,false,825
kontagora,2ABL100583,001,mf,,false,826
khb,2ABL100497,001,mf,,false,827
assurance,2ABL101182,001,mf,,false,1531
corestep,2ABL100817,001,mf,,false,829
egbe,2ABL100501,001,mf,,false,831
catland,2ABL100227,001,mf,,false,832
citizentrust,2ABL100764,001,mf,,false,833
grants,2ABL100527,001,mf,,false,834
hamda,2ABL100316,001,mf,,false,835
renmoney,2ABL100055,001,mf,,false,845
ilo,,,,,false,847
topclass,2ABL100418,001,mf,,false,846
unical,2ABL100270,001,mf,,false,870
obodoukwu,2ABL100873,001,mf,,false,828
nakowa,2ABL100780,001,mf,,false,914
bckash,2ABL100293,001,mf,,false,915
sunrise,2ABL100099,001,mf,,false,917
gmb,2ABL100631,001,mf,,false,918
ndiorah,2ABL100607,001,mf,,false,919
aella,2ABL100271,001,mf,,true,920
finca,2ABL100295,001,mf,,false,921
fud,2ABL100496,001,mf,,false,922
gowans,2ABL100435,001,mf,,false,923
support,2ABL100834,001,mf,,false,925
zedvance,2ABL100167,001,mf,,false,926
awkaetiti,2ABL100476,001,mf,,false,927
egbemoha,2ABL100888,001,mf,,false,928
halmond,2ABL100861,001,mf,,false,929
eagleflight,2ABL100169,001,mf,,false,930
boluwaduro,2ABL100872,001,mf,,false,932
borno,2ABL100803,001,mf,,false,931
royallifekey,2ABL100144,001,mf,,false,933
umejei,2ABL100192,001,mf,,false,934
cashrite,2ABL100852,001,mf,,false,935
omuma,2ABL100878,001,mf,,false,936
pentecost,2ABL100381,001,mf,,false,937
babura,2ABL100692,001,mf,,false,938
bayajidda,2ABL100541,001,mf,,false,939
womendevelopment,2ABL100539,001,mf,,false,940
lagosbuilding,2A4L290052,001,mg,,false,941
utako,2ABL100063,001,mf,,false,942
premium,2ABL100434,001,mf,,false,943
kenechukwu,2ABL100643,001,mf,,false,944
kadpoly,2ABL100291,001,mf,,false,945
jewelcoop,2ABL100609,001,mf,,false,946
skyline,2ABL100107,001,mf,,false,947
riverside,2ABL100241,001,mf,,false,948
everest,2ABL100360,001,mf,,false,949
ilorin,2ABL100737,001,mf,,false,924
olowolagba,2ABL100697,001,mf,,false,1082
atbumfb,2ABL100626,001,mf,,false,1083
bridgeway,2ABL100818,001,mf,,false,1084
snow,2ABL100278,001,mf,,false,1086
iperu,2ABL100347,001,mf,,false,1087
victory,2ABL100395,001,mf,,false,1088
busu,2ABL100757,001,mf,,false,1089
safetrust,2A4L290069,001,mg,,false,1090
utfinancial,2A2L100090,001,cb,,false,1091
oba,2ABL100399,001,mf,,false,1092
chibueze,2ABL100685,001,mf,,false,1093
multivest,2ABL100259,001,mf,,false,1094
umuawulu,2ABL100700,001,mf,,false,1095
kcmb,2ABL100282,001,mf,,false,1096
ocon,2ABL100627,001,mf,,false,1097
iloffa,2ABL100327,001,mf,,false,848
supra,2A2L100098,001,cb,,false,1098
albarakah,2ABL100828,001,mf,,false,1099
olofinowena,2ABL100876,001,mf,,false,1100
iyamoye,2ABL100819,001,mf,,false,1101
lsetf,2A9L100930,001,cb,,false,1102
nmrc,2A1L100927,001,cb,,false,1103
parkway,2ABL100002,001,mf,,false,1104
moneyfarm,2A2L100290,001,cb,,false,1105
starmfb,2ABL100100,001,mf,,false,1106
stirling,2A2L100018,001,cb,,false,1109
tcf,2ABL100362,001,mf,,false,1110
adaigbo,2ABL100195,001,mf,,false,1111
surelife,2ABL100413,001,mf,,false,1013
branch,2ABL100926,001,mf,,false,1112
midland,2ABL100138,001,mf,,false,1113
paradigm,2A2L100464,001,cb,,false,1114
alor,2ABL100587,001,mf,,false,1115
chase,2ABL100814,001,mf,,false,1116
viva,2A2L100239,001,cb,,false,1117
penny,2A2L100909,001,cb,,false,1119
diobu,2ABL100155,001,mf,,false,1120
akwasavings,2A4L290012,001,mg,,false,1121
kankia,2ABL100517,001,mf,,false,1123
bibajinre,2ABL100903,001,mf,,false,1124
ctwentyfourmfb,2ABL100931,001,mf,,false,1118
interland,2ABL100238,001,mf,,false,1125
yabo,2ABL100606,001,mf,,false,1126
uvuru,2ABL100875,001,mf,,false,1127
betterlife,2ABL100503,001,mf,,false,1128
michika,2ABL100506,001,mf,,false,1129
novel,2ABL100808,001,mf,,false,1130
orokam,2ABL100749,001,mf,,false,1131
nsehe,2ABL100464,001,mf,,false,1132
oraukwu,2ABL100341,001,mf,,false,1133
nsu,2ABL100910,001,mf,,false,1134
tfmfb,2ABL100862,001,mf,,false,1136
baure,2ABL100593,001,mf,,false,1137
trustbond,2A4L290084,001,mg,,false,1138
rolez,2ABL100845,001,mf,,false,1139
sandamu,2ABL100546,001,mf,,false,1140
rano,2ABL100533,001,mf,,false,1141
iyeruokin,2ABL100650,001,mf,,false,1142
firstmultiple,2ABL100522,001,mf,,false,1143
chronicles,2ABL100633,001,mf,,false,1144
resort,2A4L290068,001,mg,,false,1145
susu,2ABL100007,001,mf,,false,1146
kwacofocus,2ABL100908,001,mf,,false,1147
kunagaba,2ABL100508,001,mf,,false,1148
nasarawa,2ABL100547,001,mf,,false,1149
ezebo,2ABL100154,001,mf,,false,1150
developmentbank,2A1L100917,001,cb,,false,1151
mainland,2ABL100939,001,mf,,false,1152
ifelodun,2ABL100938,001,mf,,false,1155
babba,2ABL100526,001,mf,,false,1156
asosavings,2A4L290001,001,mg,,false,1153
asha,2ABL100096,001,mf,,false,1157
mbaitoli,2ABL100203,001,mf,,false,1135
alert,2ABL100344,001,mf,,false,830
coalcamp,2ABL100944,001,mf,,false,1154
,2AFL100161,001,mg,,false,1107
aacb,2ABL100660,001,mf,,false,1158
edfin,2ABL100825,001,mf,,false,1085
trustbanc,2ABL100484,001,mf,,false,1122
obosi,2ABL100469,001,mf,,false,836
adaziunukwu,2ABL100488,001,mf,,false,837
livingspring,2ABL100571,001,mf,,false,838
ibile,2ABL100820,001,mf,,false,839
ibuaje,2ABL100421,001,mf,,false,840
ifedapo,2ABL100324,001,mf,,false,841
stockcorp,2ABL100284,001,mf,,false,850
ulayin,2ABL100429,001,mf,,false,851
zei,2ABL101169,001,mf,,false,1560
merchant,2ABL100669,001,mf,,false,853
olubasiri,2ABL100419,001,mf,,false,854
garewa,2ABL100611,001,mf,,false,855
randalpha,2ABL100455,001,mf,,false,856
ideato,2ABL100890,001,mf,,false,950
awe,2ABL100648,001,mf,,false,951
aquila,2A2L100091,001,cb,,false,952
addosser,2ABL100031,001,mf,,false,953
awkuzu,2ABL100471,001,mf,,false,954
platinum,2A4L290083,001,mg,,false,956
emeralds,2ABL100350,001,mf,,false,957
bankofagric,2A1L100180,001,cb,,false,955
crownrise,2A2L100847,001,cb,,false,958
obollo,2ABL100702,001,mf,,false,959
umuchinemere,2ABL100687,001,mf,,false,852
greenfinance,2ABL100797,001,mf,,false,966
ilaropoly,2ABL100246,001,mf,,false,969
parallex,2ABL100124,001,mf,,false,970
eastgate,2ABL100717,001,mf,,false,971
zafec,2ABL100530,001,mf,,false,972
goldman,2ABL100569,001,mf,,false,973
seedvestmfb,2ABL100020,001,mf,,false,975
ummah,2ABL100538,001,mf,,false,976
frontline,2A2L100257,001,cb,,false,978
ini,2ABL100582,001,mf,,false,979
kadupe,2ABL100222,001,mf,,false,981
pana,2ABL100901,001,mf,,false,982
rakib,2ABL100513,001,mf,,false,983
mabinas,2ABL100165,001,mf,,false,984
madelyn,2ABL100274,001,mf,,false,985
nenzit,2ABL100247,001,mf,,false,986
abia,2ABL100699,001,mf,,false,987
coemfb,2ABL100451,001,mf,,false,988
maintrust,2ABL100813,001,mf,,false,989
oakland,2ABL100308,001,mf,,false,990
wstc,2A2L100035,001,cb,,false,991
resolutionfin,2A2L100182,001,cb,,false,992
tarabasavings,2A4L100123,001,mg,,true,994
imperialhomes,2A4L290058,001,mg,,true,995
othreecapital,2A2L100147,001,cb,,false,997
fedpolynekede,2ABL100871,001,mf,,false,998
insight,2ABL100778,001,mf,,false,999
progressivelink,2ABL100555,001,mf,,false,857
ishiagu,2ABL100833,001,mf,,false,1000
waila,2ABL100112,001,mf,,false,1001
yeneng,2ABL100827,001,mf,,false,1002
lighthouse,2A2L100103,001,cb,,false,1003
homebase,2A4L290095,001,mg,,false,967
gateway,2A4L290087,001,mg,,false,968
dignityfinance,2A2L100082,001,cb,,false,373
oyan,2ABL100482,001,mf,,false,1004
oroke,2ABL100313,001,mf,,false,1005
biofem,2AFL100076,001,cb,,false,1006
mantrac,2AFL100265,001,cb,,false,1007
okuku,2ABL100745,001,mf,,false,1008
fgmb,2A4L100161,001,mg,,false,1009
hasal,2ABL100074,001,mf,,false,1011
kogisavings,2A4L290029,001,mg,,false,1012
futminna,2ABL100359,001,mf,,false,1014
derealpeople,2A2L100054,001,cb,,false,1015
aboveonly,2ABL100367,001,mf,,false,1016
colink,2A2L100785,001,cb,,false,1017
ogberuru,2ABL100891,001,mf,,false,1018
bejindoko,2ABL100515,001,mf,,false,1019
ally,2ABL100494,001,mf,,false,1020
azabe,2ABL100800,001,mf,,false,1021
equinox,2ABL100604,001,mf,,false,1022
keffi,2ABL100537,001,mf,,false,1023
northbridge,2ABL100551,001,mf,,false,1025
bam,2ABL100022,001,mf,,false,1026
brightway,2ABL100320,001,mf,,false,1027
bubayero,2ABL100590,001,mf,,false,1028
ekondo,2ABL100200,001,mf,,false,1029
algreb,2ABL100846,001,mf,,false,1031
bethel,2ABL100740,001,mf,,false,1032
apple,2ABL100462,001,mf,,false,1033
bawyi,2ABL100567,001,mf,,false,1034
fta,2ABL100772,001,mf,,false,1036
amcon,2A1L100032,001,cb,,false,1035
malachy,2ABL100572,001,mf,,false,1037
ishie,2ABL100570,001,mf,,false,1038
sulspap,2ABL100854,001,mf,,false,1039
sapida,2ABL100235,001,mf,,false,1040
honey,2ABL100253,001,mf,,false,1041
gombe,2ABL100480,001,mf,,false,1042
iwoyeijesa,2ABL100423,001,mf,,false,1043
businesssupport,2ABL100059,001,mf,,false,1044
balogunfulani,2ABL100730,001,mf,,false,1046
safeline,2ABL100492,001,mf,,false,1047
polyibadan,2ABL100446,001,mf,,false,1049
,,,,,false,1050
