1,highland,2ABL100375,001,mf,,
2,daylight,2ABL100269,001,mf,,
3,excel,2ABL100334,001,mf,,
4,lafayette,2ABL100070,000,mf,,
5,highstreet,2ABL100120,001,mf,,
6,seedvestltd,2ABL100017,000,mf,,
7,alpha,2ABL100394,001,mf,,
8,esan,2ABL100191,001,mf,,
9,baines,2ABL100443,001,mf,,
10,afemai,2ABL100370,001,mf,,
11,coronation,2A1L260003,001,cb,,
12,ojokoro,2ABL100391,000,mf,,
13,microvis,2ABL100352,001,mf,,
14,newgoldenpasture,2ABL100208,001,mf,,
15,triplea,2ABL100047,000,mf,,
16,imowo,2ABL100245,001,mf,,
17,consumer,2ABL100408,001,mf,,
18,hedgeworth,2ABL100056,001,mf,,
19,apeks,2ABL100323,001,mf,,
20,banex,2ABL100188,000,mf,,
21,boi,2A1L100001,000,mf,,
22,lawyers,2ABL100102,001,mf,,
23,lekki,2ABL100094,001,mf,,
24,supreme,2ABL100066,000,mf,,
25,sbdc,2ABL100356,001,mf,,
26,vfd,2ABL100351,000,mf,,
27,alekun,2ABL100204,001,mf,,
28,coastline,2ABL100397,000,mf,,
29,chikum,2ABL100450,000,mf,,
30,nutendwell,2ABL100231,001,mf,,
31,key,1A0L200082,,,,
32,firstlowland,2ABL100390,001,mf,,
33,accion,2ABL100125,001,mf,,
34,fbnmfb,2ABL100003,000,mf,,
35,navy,2ABL100237,001,mf,,
37,boctrust,2ABL100415,001,mf,,
38,firstroyal,2ABL100181,001,mf,,
39,jessefield,2ABL100132,000,mf,,
40,unifund,2ABL100109,001,mf,,
41,lovonus,2ABL100039,001,mf,,
42,davodani,2ABL100260,001,mf,,
43,cit,2ABL100077,001,mf,,
44,finatrust,2ABL100030,001,mf,,
45,regent,2ABL100224,001,mf,,
46,conpro,2ABL100038,001,mf,,
47,megapraise,2ABL100176,001,mf,,
48,atlasmfb,2ABL100064,001,mf,,
49,peace,2ABL100065,001,mf,,
50,nnew,2ABL100243,001,mf,,
51,royalexchange,2ABL100326,001,mf,,
52,mainstreet,2A0L200014,000,mf,,
53,mkobo,2ABL100292,000,mf,,
54,seap,2ABL100401,001,mf,,
55,levite,2ABL100152,001,mf,,
56,lapo,2ABL100168,900,mf,,
57,ekreliable,2ABL100427,001,mf,,
58,crossover,2ABL100303,001,mf,,
59,fedpoly,2ABL100173,001,mf,,
60,lifegate,2ABL100187,001,mf,,
61,boimfb,2ABL100116,000,mf,,
62,mutualtrust,2ABL100458,001,mf,,
